ID,REXP,LZPK,LZFPM,PXADJ,RCI,PFREE,ZPERC,RIVA,MAPE_Input,SASC_INPUT,PEADJ,LZTWM,RSERV,ADIMP,UZK,SIDE,LZFSM,LZSK,UZTWM,UZFWM,PCTIM,EFC,JAN_ETD,FEB_ETD,MAR_ETD,APR_ETD,MAY_ETD,JUN_ETD,JUL_ETD,AUG_ETD,SEP_ETD,OCT_ETD,NOV_ETD,DEC_ETD
LSHA2LWR,2,0.003,100,1,6,0.3,10,0,FALSE,TRUE,1,100,0,0,0.3,0,125,0.06,25,30,0,0.8,0,0,0.2,1.1,2.5,3.5,3.4,2.4,1.1,0.3,0,0
LSUA2UPR,1.85,0.003,350,1,6,0.3,20,0,FALSE,TRUE,1,65,0.3,0,0.25,0,150,0.1,35,60,0,0,0,0,0,0.1,0.5,1.1,1.1,0.8,0.4,0,0,0
LSUA2LWR,1.85,0.003,350,1,6,0.3,20,0,FALSE,TRUE,1,95,0.3,0,0.25,0,150,0.1,35,60,0,0.2,0,0,0.1,0.5,1.6,2.6,2.6,1.8,0.7,0.1,0,0
MACA2UPR,1.8,0,200,1,0,0,40,0,FALSE,TRUE,1,30,1,0,0.3,0,130,0.005,15,20,0.01,0,0,0,0,0.1,0.6,1,1.8,1.8,0.4,0.1,0,0
MACA2LWR,1.8,0,400,1,0,0,40,0,FALSE,TRUE,1,30,1,0,0.3,0,130,0.005,20,20,0.01,0.3,0,0,0.1,0.5,1.5,1.6,2.5,2.3,1.4,0.1,0,0
MATA2LWR,1.8,0.003,400,1,0,0.3,40,0,FALSE,TRUE,1,100,0,0,0.3,0,175,0.06,50,40,0,0.6,0,0,0.1,0.5,1.4,2.6,2.5,1.8,0.7,0.1,0,0
MATA2UPR,1.8,0.003,400,1,0,0.3,40,0,FALSE,TRUE,1,75,0,0,0.3,0,175,0.06,35,40,0,0.1,0,0,0,0.1,0.5,1,1,0.7,0.4,0,0,0
MONA2UPR,2.75,0.005,300,1,0,0.3,50,0,FALSE,TRUE,1,65,0.3,0,0.2,0,125,0.05,25,50,0,0,0,0,0,0.1,0.5,1.1,1.2,0.9,0.4,0,0,0
MONA2LWR,2.75,0.005,300,1,0,0.3,50,0,FALSE,TRUE,1,100,0.3,0,0.2,0,125,0.05,25,50,0,0.2,0,0,0.1,0.5,1.7,2.8,2.8,2.1,0.9,0.2,0,0
SKWA2UPR,2.5,0.003,300,1,0,0.3,30,0,FALSE,TRUE,1,65,0,0,0.25,0,150,0.06,35,40,0,0.1,0,0,0,0.1,0.4,1,1,0.8,0.3,0,0,0
SKWA2LWR,2.5,0.003,300,1,0,0.3,30,0,FALSE,TRUE,1,100,0,0,0.25,0,150,0.06,50,40,0,0.5,0,0,0.1,0.5,1.7,2.9,2.9,2.1,0.9,0.2,0,0
SUCA2UPR,1.8,0.001,300,1,0,0,40,0,FALSE,TRUE,1,75,1,0,0.3,0,125,0.08,25,20,0,0.1,0,0,0,0.1,0.5,1.1,1.1,0.9,0.4,0,0,0
SUCA2LWR,1.8,0.001,300,1,0,0,40,0,FALSE,TRUE,1,100,1,0,0.3,0,125,0.08,35,30,0,0.6,0,0,0.1,0.4,1.5,2.5,2.4,1.8,0.7,0.1,0,0
SUDA2UPR,1.8,0.001,200,1,0,0,40,0,FALSE,TRUE,1,75,1,0,0.3,0,125,0.08,25,20,0,0,0,0,0,0.1,0.4,0.9,0.9,0.7,0.3,0,0,0
SUDA2LWR,1.8,0.001,300,1,0,0,40,0,FALSE,TRUE,1,100,1,0,0.3,0,125,0.08,35,30,0,0.3,0,0,0.1,0.4,1.4,2.3,2.3,1.7,0.7,0.1,0,0
SUNA2LOC,2,0.003,100,1,0,0,10,0,FALSE,TRUE,1,100,1,0,0.3,0,125,0.06,25,30,0,0.6,0,0,0.1,0.5,1.6,2.7,2.7,2,0.8,0.1,0,0
TRTA2UPR,2,0.003,100,1,0,0.3,10,0,FALSE,TRUE,1,75,0,0,0.3,0,125,0.06,25,20,0,0.1,0,0,0,0.1,0.4,0.9,1,0.8,0.3,0,0,0
TRTA2LWR,2,0.003,100,1,0,0.3,10,0,FALSE,TRUE,1,100,0,0,0.3,0,125,0.06,25,30,0,0.6,0,0,0.1,0.5,1.6,2.7,2.7,2,0.8,0.1,0,0
WILA2LOC,2.5,0.003,370,1,0,0.3,25,0,FALSE,TRUE,1,200,0.3,0,0.25,0,235,0.03,50,40,0,0.2,0,0,0.1,0.8,2.1,2.5,2.3,1.6,0.8,0.2,0,0
WLWA2UPR,2.5,0.003,230,1,6,0.3,35,0,FALSE,TRUE,1,65,0.3,0,0.25,0,120,0.06,25,40,0.05,0,0,0,0,0.2,0.9,1.1,1,0.8,0.3,0.1,0,0
WLWA2LWR,2.8,0.003,270,1,6,0.3,35,0,FALSE,TRUE,1,100,0.3,0,0.25,0,135,0.06,40,50,0.01,0.2,0,0,0.1,0.8,2.1,2.5,2.3,1.6,0.8,0.2,0,0
YLKA2UPR,2.5,0.003,300,1,0,0.3,30,0,FALSE,TRUE,1,65,0,0,0.25,0,150,0.06,35,40,0,0.1,0,0,0,0.1,0.5,1,1.1,0.8,0.4,0,0,0
YLKA2LWR,2.5,0.003,300,1,0,0.3,30,0,FALSE,TRUE,1,100,0,0,0.25,0,150,0.06,50,40,0,0.5,0,0,0.1,0.5,1.8,3,3,2.2,0.9,0.2,0,0
YSSA2UPR,2.5,0.003,300,1,0,0.3,30,0,FALSE,TRUE,1,65,0,0,0.25,0,150,0.06,35,40,0,0.1,0,0,0,0.1,0.4,0.9,1,0.7,0.3,0,0,0
YSSA2LWR,2.5,0.003,300,1,0,0.3,30,0,FALSE,TRUE,1,100,0,0,0.25,0,150,0.06,50,40,0,0.5,0,0,0.1,0.5,1.8,3.1,3,2.3,0.9,0.2,0,0
ANKA2LWR,1.7,0.003,300,1,6,0.3,100,0,FALSE,TRUE,1,100,0.3,0,0.3,0,175,0.06,40,30,0,0.6,0,0,0.1,0.6,1.9,3.2,3.2,2.4,1,0.2,0,0
ANKA2UPR,1.7,0.003,300,1,6,0.3,100,0,FALSE,TRUE,1,100,0.3,0,0.3,0,175,0.06,30,20,0,0.1,0,0,0,0.2,0.7,1.5,1.6,1.2,0.5,0,0,0
CJXA2LWR,1.7,0.003,300,1,6,0.3,100,0,FALSE,TRUE,1,100,0.3,0,0.3,0,175,0.06,40,30,0,0.6,0,0,0.1,0.6,1.9,3.2,3.2,2.4,1,0.2,0,0
CJXA2UPR,1.7,0.003,300,1,6,0.3,100,0,FALSE,TRUE,1,100,0.3,0,0.3,0,175,0.06,30,20,0,0.1,0,0,0,0.2,0.7,1.6,1.6,1.2,0.5,0.1,0,0
KLCA2LWR,1.7,0.002,200,1,6,0.3,100,0,FALSE,TRUE,1,100,0.3,0,0.3,0,175,0.1,40,30,0,0.6,0,0,0.1,0.6,1.9,3.2,3.2,2.4,1,0.2,0,0
KLCA2UPR,1.7,0.002,200,1,6,0.3,100,0,FALSE,TRUE,1,100,0.3,0,0.3,0,175,0.1,40,30,0,0.1,0,0,0,0.2,0.8,1.6,1.7,1.3,0.6,0.1,0,0
MCGA2LWR,1.7,0.002,300,1,6,0.3,100,0,FALSE,TRUE,1,100,0.3,0,0.3,0,175,0.06,40,30,0,0.6,0,0,0.1,0.6,1.9,3.2,3.1,2.3,1,0.2,0,0
MCGA2UPR,1.7,0.003,300,1,6,0.3,80,0,FALSE,TRUE,1,75,0.3,0,0.3,0,175,0.06,30,20,0,0.1,0,0,0,0.1,0.6,1.2,1.3,1,0.4,0,0,0
BRINNG,1.8,0.006,205,1,6,0.3,10,0,FALSE,TRUE,1,100,0.3,0,0.65,0,150,0.07,15,60,0.03,0,0,0,0,0.1,0.6,1.3,1.4,1,0.5,0,0,0
